aggregate,score_biology,score_chemistry,score_physics,score_math,score_english,score_government,score_literature,score_accounting,score_business_management,score_art,score_agriculture,score_ict,interest_healthcare,interest_technology,interest_business,interest_creative,interest_engineering,interest_law,interest_education,interest_agriculture,target
35,51,40,60,47,80,55,60,65,55,58,72,44,8,1,8,0,0,4,5,5,Teacher
28,92,47,47,51,40,52,48,62,65,88,74,51,2,5,1,2,4,8,1,9,Teacher
23,47,68,86,58,70,65,86,55,82,59,55,67,8,2,0,4,6,5,0,4,Teacher
11,85,95,97,95,63,73,73,71,70,73,88,90,1,7,6,9,9,1,5,5,Lawyer
23,68,82,80,67,50,61,87,78,58,60,40,87,2,1,3,8,5,0,7,6,Teacher
22,66,78,62,42,66,73,83,45,65,65,50,74,7,8,2,2,1,9,2,2,Teacher
23,53,57,43,62,66,40,63,66,73,83,78,56,0,2,3,7,5,9,6,7,Teacher
31,68,64,100,76,58,45,40,63,48,40,50,43,8,0,3,8,3,9,2,8,Teacher
20,93,78,100,90,40,86,80,65,48,78,40,69,8,0,4,5,4,5,5,6,Accountant
35,51,47,60,47,64,59,56,46,51,71,67,45,8,1,7,9,2,4,5,9,Teacher
24,73,51,91,67,60,66,75,64,77,40,52,40,4,6,9,1,7,1,3,0,Teacher
14,86,100,41,67,87,75,84,69,80,76,96,82,7,8,4,2,4,4,4,2,Architect
31,55,69,85,72,86,54,63,72,40,82,40,74,6,1,4,7,7,2,6,2,Teacher
8,65,100,93,81,97,100,90,91,81,75,100,75,3,5,1,9,4,9,0,5,Lawyer
20,89,63,63,61,84,84,90,85,45,74,54,62,9,7,5,5,7,6,9,9,Teacher
35,55,53,69,83,78,70,50,57,55,52,53,53,6,8,0,5,6,2,7,4,Teacher
26,77,52,73,40,57,70,80,48,40,57,44,58,7,8,6,3,5,4,7,0,Teacher
16,60,83,64,73,76,78,65,78,64,86,74,78,0,7,2,1,0,2,1,1,Accountant
22,85,40,61,61,45,55,50,93,81,86,77,50,7,5,8,4,2,2,0,7,Teacher
29,70,66,54,77,43,69,68,55,64,41,73,57,4,3,9,1,2,6,6,3,Teacher
11,74,100,77,90,85,68,83,88,82,63,100,84,1,8,6,8,5,5,3,9,Electrical Engineer
18,89,90,74,92,72,93,70,62,100,72,59,59,7,1,8,4,6,9,0,9,Accountant
35,50,60,67,49,62,48,50,40,46,40,45,75,2,5,1,6,7,5,5,4,Teacher
31,51,61,98,58,77,49,59,86,50,87,70,51,4,2,5,1,2,4,0,0,Teacher
28,46,60,79,70,72,80,80,75,62,54,61,51,0,6,9,4,5,9,6,4,Teacher
24,63,74,64,64,78,56,65,57,57,59,67,56,7,9,6,6,6,7,0,3,Teacher
30,62,85,75,57,43,40,53,42,98,50,49,40,8,6,3,4,0,0,2,7,Teacher
9,96,100,93,82,72,82,94,63,98,89,84,76,5,4,2,9,1,8,9,8,Medical Doctor
8,95,95,69,96,100,95,62,90,60,100,100,78,8,8,3,4,1,8,7,2,Medical Doctor
34,64,65,69,90,57,48,40,49,59,86,52,63,0,1,7,2,9,2,7,7,Teacher
32,66,69,76,60,50,52,53,45,64,50,62,57,9,8,2,6,9,9,4,6,Teacher
9,100,91,74,77,82,77,71,88,83,89,100,82,4,5,3,3,3,1,3,0,Lawyer
22,40,81,59,68,72,59,65,40,77,83,41,60,3,0,2,8,6,6,3,1,Teacher
25,43,75,72,61,90,46,40,52,61,66,58,67,2,0,8,7,1,7,8,0,Teacher
13,89,87,90,100,83,91,79,100,70,100,79,59,5,5,4,4,1,7,7,0,Pharmacist
23,51,89,83,76,79,78,60,66,43,64,83,55,1,0,1,0,0,8,0,3,Teacher
12,84,66,96,91,74,75,86,70,100,87,87,92,3,6,3,3,5,9,5,9,Civil Engineer
14,75,60,88,100,74,100,55,94,100,75,76,94,2,1,5,1,2,5,4,7,Business Analyst
8,85,76,81,66,95,81,100,83,100,99,88,100,1,0,2,8,3,9,4,1,Lawyer
7,100,96,76,69,79,55,82,98,82,100,100,100,1,6,4,4,5,8,5,7,Medical Doctor
25,45,67,68,61,74,43,79,51,40,58,40,66,8,0,4,3,7,0,8,5,Teacher
30,40,78,82,62,52,86,62,76,52,60,41,69,4,4,4,0,0,2,9,3,Teacher
29,40,67,40,64,44,61,60,61,54,53,49,67,5,4,5,1,0,6,6,9,Teacher
35,96,59,63,75,76,77,69,42,84,42,64,48,1,5,8,0,8,8,8,4,Teacher
14,83,67,92,76,73,90,74,93,93,58,95,57,9,6,4,2,8,0,0,0,Electrical Engineer
11,86,72,99,100,49,73,84,100,76,83,66,60,1,4,3,6,5,1,4,6,Civil Engineer
21,79,72,70,67,57,64,43,67,53,51,71,89,9,3,1,1,0,3,9,8,Teacher
12,67,90,100,85,84,67,100,80,73,82,89,84,6,5,5,4,5,8,9,8,Electrical Engineer
29,77,55,55,71,71,49,72,51,87,47,63,48,0,6,1,4,0,2,1,0,Teacher
22,58,52,56,57,47,78,58,69,60,56,92,80,9,5,6,8,0,6,7,2,Teacher
11,59,91,66,72,74,80,72,84,74,94,98,85,1,2,5,9,2,5,5,1,Architect
7,60,80,77,91,91,95,79,97,66,62,54,82,6,2,7,5,4,3,7,7,Medical Doctor
30,50,64,72,49,64,75,41,60,49,42,40,42,8,8,0,2,3,6,9,3,Teacher
11,83,96,84,82,97,79,87,88,73,98,80,72,1,1,2,1,3,1,9,8,Electrical Engineer
34,96,55,50,67,40,60,54,45,67,60,40,50,3,1,5,1,6,2,2,4,Teacher
15,76,55,87,98,68,51,66,90,85,63,100,97,7,0,4,6,3,3,3,5,Electrical Engineer
10,83,99,77,67,100,80,98,96,84,82,79,84,4,9,6,9,7,6,4,0,Pharmacist
31,45,59,40,90,42,59,77,47,40,53,46,40,4,9,0,8,0,7,8,8,Teacher
33,57,54,58,62,68,67,40,58,40,55,58,74,2,4,0,6,4,7,7,8,Teacher
6,78,100,76,71,100,100,84,84,95,80,79,100,5,0,7,7,8,8,1,1,Medical Doctor
9,100,94,93,100,76,100,87,90,100,94,94,100,9,0,7,1,6,8,8,7,Medical Doctor
33,43,54,64,57,59,90,41,77,54,68,91,70,4,7,7,6,6,5,5,8,Teacher
34,51,64,50,64,59,68,53,45,82,52,69,81,5,2,6,6,8,4,7,9,Teacher
13,92,66,99,74,84,59,91,100,72,63,84,100,5,9,9,9,5,0,8,1,Accountant
25,49,55,73,56,88,56,65,76,41,40,40,81,8,3,0,6,6,3,2,7,Teacher
31,87,88,84,74,50,72,59,79,76,50,74,70,2,3,6,0,6,0,1,3,Teacher
33,62,68,87,43,54,63,77,55,77,40,41,65,9,1,2,0,5,5,0,2,Teacher
15,71,85,67,44,40,65,79,82,70,79,73,62,3,7,8,3,4,7,9,5,Pharmacist
8,100,77,87,91,100,84,77,80,100,100,68,71,6,5,1,7,3,7,6,4,Medical Doctor
17,82,93,80,74,81,63,66,58,79,72,62,72,5,6,0,0,7,1,9,8,Agricultural Scientist
22,54,68,50,40,73,80,40,51,76,97,67,56,9,2,2,0,6,4,3,9,Teacher
19,76,58,64,61,72,81,77,95,58,73,52,57,9,3,2,5,6,3,6,8,Teacher
16,77,54,89,65,100,92,69,95,77,88,83,63,1,6,2,2,1,7,5,0,Accountant
28,45,66,90,43,60,81,58,66,44,66,57,74,6,4,8,2,0,3,8,3,Teacher
35,64,58,41,44,64,70,43,47,62,61,40,62,7,9,0,4,2,3,1,8,Teacher
23,76,84,42,84,63,83,66,67,71,53,83,48,6,5,8,3,0,7,6,6,Teacher
8,89,100,72,77,95,90,93,95,97,100,94,84,6,1,7,5,3,4,7,2,Medical Doctor
19,65,71,65,70,79,84,86,100,80,100,59,100,7,5,4,3,7,0,8,0,Accountant
30,71,46,50,62,42,40,78,61,51,40,72,49,4,4,4,3,4,2,0,4,Teacher
34,43,58,45,52,81,55,81,76,54,52,46,46,6,8,0,7,6,5,5,5,Teacher
22,68,59,64,71,40,44,100,59,40,45,100,56,5,0,0,7,3,0,9,6,Teacher
22,59,46,58,79,68,86,69,81,66,58,89,56,7,7,4,0,9,6,9,4,Teacher
32,54,68,76,68,49,64,76,92,56,72,77,47,1,8,9,1,2,9,1,2,Teacher
30,55,55,79,71,79,61,64,88,47,58,71,57,0,8,6,7,8,5,4,5,Teacher
9,68,100,100,76,100,82,90,90,84,98,98,60,9,8,5,3,0,7,6,1,Medical Doctor
10,78,86,88,53,100,77,72,88,86,100,89,100,5,0,3,0,1,4,7,7,Pharmacist
16,49,54,63,69,59,75,69,92,68,41,77,75,8,0,3,0,5,3,4,4,Electrical Engineer
18,96,76,69,91,57,59,54,60,73,80,87,45,7,2,1,3,2,0,2,1,Agricultural Scientist
30,57,81,49,66,66,71,84,83,51,40,49,61,7,3,8,9,5,0,2,2,Teacher
17,91,73,47,93,60,64,65,95,42,100,90,77,1,2,3,6,2,8,7,3,Nurse
22,75,40,76,69,66,61,83,81,55,73,52,46,1,8,7,2,7,8,2,2,Teacher
31,51,72,67,70,66,51,70,77,68,66,48,63,8,1,3,5,2,7,2,1,Teacher
24,40,67,64,51,73,78,40,52,52,49,76,61,6,4,6,0,0,8,4,4,Teacher
24,51,69,64,79,96,44,54,66,47,75,76,72,7,5,3,6,7,1,6,1,Teacher
7,75,100,76,86,97,80,99,100,92,100,58,83,8,8,0,2,8,1,3,3,Medical Doctor
24,76,61,69,62,67,55,40,61,85,77,78,82,0,7,0,3,8,8,4,3,Teacher
17,40,74,73,91,78,61,70,79,42,94,62,95,5,5,7,5,0,3,6,1,Software Engineer
13,99,92,96,59,100,69,83,78,67,59,54,82,4,9,4,5,7,1,5,0,Pharmacist
15,87,73,91,63,98,69,52,72,70,72,80,93,9,8,1,4,5,6,4,8,Agricultural Scientist
31,69,41,86,87,68,89,65,71,78,62,40,71,5,3,7,2,8,1,1,6,Teacher
9,94,87,83,76,76,77,91,71,92,100,91,80,7,3,0,0,3,5,7,5,Medical Doctor
20,72,64,76,72,46,69,68,61,85,58,76,67,4,5,5,5,1,9,2,5,Accountant
17,79,84,40,83,63,79,74,100,82,72,51,76,4,8,1,2,6,6,5,5,Nurse
11,91,74,83,92,82,64,69,95,100,100,86,65,5,5,8,4,9,3,4,9,Lawyer
26,50,44,68,71,58,47,60,53,49,66,49,40,1,2,0,8,6,0,2,3,Teacher
35,40,75,49,71,40,73,41,70,60,45,53,70,3,4,7,2,4,2,9,2,Teacher
33,73,57,55,76,69,68,61,74,50,48,71,40,8,3,9,2,4,0,2,7,Teacher
34,73,71,75,52,40,78,57,69,85,96,50,62,5,4,8,9,7,6,6,5,Teacher
25,72,45,72,69,40,52,80,47,55,69,74,58,5,3,6,7,5,4,5,4,Teacher
21,69,56,56,76,74,89,78,45,84,53,62,72,0,8,2,3,0,8,7,1,Teacher
12,94,80,98,95,75,92,73,90,62,63,97,96,6,0,0,2,9,3,3,1,Medical Doctor
16,53,70,89,84,83,76,76,66,86,82,83,68,2,2,9,8,3,3,6,1,Business Analyst
24,52,64,70,61,43,74,58,57,63,60,58,44,5,0,4,8,4,5,7,0,Teacher
21,87,51,70,67,79,81,72,63,75,88,68,64,9,0,1,5,9,4,8,4,Teacher
25,40,48,40,52,61,40,48,47,65,63,51,65,5,3,8,5,3,2,3,2,Teacher
35,80,74,75,40,89,51,71,97,92,45,40,81,0,0,3,6,0,8,3,2,Teacher
9,97,100,74,96,86,100,73,100,91,90,87,100,9,2,7,0,8,8,9,1,Lawyer
13,96,88,79,76,76,90,59,74,100,100,58,63,1,5,2,3,7,2,9,5,Accountant
29,54,82,68,51,72,54,74,56,75,66,100,59,4,1,1,5,9,8,3,5,Teacher
34,52,59,49,46,71,57,60,44,72,74,56,79,3,4,0,3,7,9,6,8,Teacher
31,67,68,68,56,58,64,61,40,56,47,62,100,5,8,5,4,9,6,0,6,Teacher
35,90,43,67,46,68,46,53,55,74,73,41,60,0,0,9,2,9,9,2,3,Teacher
15,56,86,75,68,66,67,79,84,46,98,97,42,9,7,9,0,1,1,2,5,Electrical Engineer
34,44,61,46,63,46,53,45,69,72,56,60,40,4,0,0,0,8,2,4,9,Teacher
30,73,76,56,84,55,65,54,49,75,100,54,78,2,4,8,7,1,2,1,7,Teacher
17,83,63,76,92,73,79,78,74,73,65,76,70,7,6,3,3,9,1,0,8,Nurse
33,61,51,81,40,40,64,76,71,47,82,41,79,5,9,0,6,2,4,9,3,Teacher
26,45,66,88,57,48,51,44,49,55,40,61,74,0,9,1,1,2,9,6,1,Teacher
22,80,50,68,66,45,83,54,57,51,77,44,76,6,4,3,6,6,5,7,3,Teacher
25,47,40,67,40,63,58,72,57,57,73,67,67,0,5,5,3,9,2,2,0,Teacher
16,94,67,48,85,57,86,96,85,92,100,90,80,9,2,8,3,2,1,9,8,Software Engineer
24,59,78,84,41,56,97,59,40,62,80,64,74,1,6,5,1,7,6,4,4,Teacher
32,75,80,48,52,78,85,68,46,89,52,54,65,3,1,0,6,7,5,3,5,Teacher
29,77,64,50,63,53,63,84,71,63,71,72,43,6,7,4,6,7,8,2,2,Teacher
15,90,100,86,79,70,82,65,48,100,62,72,87,1,1,6,9,1,3,1,5,Business Analyst
25,80,40,56,55,43,71,41,43,75,85,61,44,9,7,7,2,6,0,0,6,Teacher
15,59,42,85,100,94,87,71,89,95,79,59,70,1,8,5,2,6,8,2,1,Software Engineer
12,100,77,78,77,100,100,100,79,86,59,100,64,5,5,7,4,2,2,5,1,Accountant
34,83,90,78,51,55,71,67,84,97,94,82,67,9,1,0,3,3,0,5,3,Teacher
20,60,56,72,78,81,84,90,79,98,71,67,79,1,4,4,6,0,7,2,3,Teacher
25,70,100,40,88,58,66,61,56,53,67,40,73,0,7,9,2,6,0,0,9,Teacher
26,40,45,54,84,57,53,40,51,42,45,62,54,0,5,2,7,5,1,5,6,Teacher
25,49,76,75,84,53,59,40,56,77,55,72,59,8,7,7,6,8,1,2,9,Teacher
27,78,71,67,82,45,86,73,56,77,43,47,50,2,9,4,8,3,0,3,5,Teacher
34,40,64,40,58,40,89,73,61,78,47,68,62,2,5,7,6,2,7,1,9,Teacher
22,64,62,63,69,63,57,69,54,71,63,77,81,2,6,9,7,5,9,8,6,Teacher
26,52,54,40,62,61,63,67,49,65,67,53,67,0,0,5,9,0,5,0,5,Teacher
19,89,64,65,88,43,65,74,78,63,72,40,61,5,1,1,3,0,8,6,6,Accountant
16,77,73,57,86,82,78,74,71,89,73,75,83,3,5,9,4,3,7,3,9,Software Engineer
18,64,77,59,56,40,63,55,58,68,64,55,41,6,4,5,7,9,3,6,5,Nurse
23,70,41,72,61,70,61,84,68,80,81,48,54,2,4,5,7,5,2,5,0,Teacher
21,55,100,65,48,41,59,65,82,81,68,61,73,7,8,9,9,8,9,6,8,Teacher
8,71,93,82,80,79,86,89,80,82,86,85,88,9,3,6,5,1,9,7,6,Medical Doctor
28,50,61,78,55,51,69,69,51,40,50,70,48,3,4,2,3,3,2,9,4,Teacher
32,61,72,47,79,45,56,65,54,40,73,50,71,5,3,5,3,3,3,8,6,Teacher
11,94,66,91,98,77,100,90,73,100,66,77,80,9,8,9,6,3,2,9,2,Electrical Engineer
34,54,82,91,45,60,91,58,60,40,52,68,96,0,0,0,4,9,6,1,9,Teacher
17,72,70,84,73,91,55,55,85,57,83,80,64,8,1,9,8,1,7,8,9,Nurse
30,43,88,40,62,75,41,62,74,60,100,40,75,9,5,7,5,3,3,5,3,Teacher
6,96,100,67,98,87,93,87,99,88,75,92,87,0,6,6,0,8,5,1,4,Medical Doctor
25,42,76,72,57,45,65,64,76,55,80,54,42,0,3,6,6,5,7,5,9,Teacher
25,81,67,44,46,87,48,45,79,67,48,65,47,3,3,8,6,3,2,5,2,Teacher
18,83,89,61,88,94,72,61,62,91,100,58,57,8,3,7,2,6,2,6,9,Accountant
16,75,67,59,88,89,52,99,84,96,55,55,73,9,5,2,4,4,4,7,8,Business Analyst
34,44,78,45,84,55,83,70,57,52,54,66,61,9,8,5,2,0,3,2,0,Teacher
19,54,46,44,51,60,100,63,74,77,73,70,53,6,1,5,3,0,0,4,1,Accountant
9,100,100,89,100,100,78,74,87,99,88,62,74,2,3,4,0,6,9,6,8,Lawyer
35,75,50,56,70,45,50,42,77,83,40,57,81,1,4,8,9,0,9,4,5,Teacher
12,73,94,79,65,63,100,83,73,78,94,77,60,9,3,1,3,0,1,7,5,Pharmacist
11,46,60,81,85,79,82,77,83,90,89,73,97,9,6,9,6,2,2,9,2,Civil Engineer
20,64,78,68,49,85,100,62,65,40,90,83,43,7,7,0,8,1,8,0,9,Agricultural Scientist
19,60,52,86,40,88,92,66,40,66,70,56,63,1,2,9,7,5,7,6,4,Accountant
27,41,67,45,63,76,50,90,45,74,66,77,43,5,7,8,0,2,6,5,6,Teacher
24,82,50,89,40,70,71,52,70,83,40,71,40,5,5,2,7,6,6,5,4,Teacher
26,81,43,40,53,78,40,43,64,99,40,40,66,2,7,2,9,6,1,3,5,Teacher
26,81,65,71,82,44,60,53,40,66,98,40,60,5,5,1,7,2,6,4,2,Teacher
24,76,95,72,40,63,64,78,66,82,69,87,57,2,8,0,9,2,0,1,7,Teacher
7,100,68,79,91,83,95,100,100,98,100,65,100,7,8,8,9,3,0,2,8,Medical Doctor
28,75,68,60,61,54,55,40,76,40,44,90,62,6,6,7,6,4,6,9,2,Teacher
30,53,46,58,67,80,72,45,54,50,44,41,84,2,7,8,3,8,6,2,6,Teacher
24,62,70,56,61,49,63,51,47,67,67,75,57,9,1,3,8,5,7,1,6,Teacher
35,60,40,62,93,54,49,65,64,77,41,70,68,3,5,6,8,0,7,7,5,Teacher
32,40,75,59,59,67,52,76,81,81,40,56,40,4,2,3,2,3,0,7,3,Teacher
23,49,47,62,56,59,73,79,87,66,70,68,40,1,1,5,6,6,8,5,7,Teacher
7,92,81,66,100,100,83,97,82,74,100,64,85,1,3,4,6,1,5,0,6,Medical Doctor
10,81,94,63,78,92,95,87,80,83,96,85,69,1,0,9,8,6,3,5,1,Medical Doctor
15,89,56,76,65,90,94,80,79,88,94,78,70,3,2,6,7,1,9,6,7,Civil Engineer
31,63,60,45,79,69,51,75,52,48,48,40,67,2,5,3,2,8,9,1,0,Teacher
21,85,50,53,83,67,49,58,74,56,40,63,64,3,9,0,8,6,6,4,6,Teacher
7,68,65,71,91,76,97,90,59,99,100,74,95,4,9,5,2,1,5,0,6,Medical Doctor
18,67,71,67,55,67,77,72,75,62,90,55,80,1,0,8,8,6,6,2,9,Nurse
23,93,75,68,75,73,79,41,70,72,64,77,94,7,8,0,1,9,1,3,1,Teacher
20,64,50,71,58,76,80,59,66,73,48,73,48,7,4,8,1,8,7,8,3,Accountant
26,89,85,46,73,40,54,47,77,41,67,61,58,7,7,8,4,6,2,9,3,Teacher
31,64,58,51,40,70,56,82,65,51,76,77,56,2,7,3,3,4,5,6,3,Teacher
34,54,84,80,40,93,49,91,56,54,56,53,97,8,3,2,3,3,9,1,0,Teacher
17,100,84,91,93,40,80,53,56,59,69,84,81,2,6,7,1,3,2,1,5,Software Engineer
9,81,74,92,100,77,50,80,100,94,92,82,67,9,4,6,4,4,8,2,5,Medical Doctor
26,71,68,67,63,47,77,74,44,80,62,62,58,2,0,6,3,9,1,9,4,Teacher
9,71,89,91,77,78,71,79,86,78,64,76,80,3,9,4,3,7,3,9,5,Lawyer
27,40,71,40,60,40,55,84,65,47,59,60,67,4,8,6,7,0,1,7,8,Teacher
17,63,65,98,74,76,64,92,71,66,50,73,66,1,5,1,7,7,4,9,6,Agricultural Scientist
16,78,91,48,78,93,76,58,91,66,63,61,73,1,8,4,9,5,2,2,9,Teacher
31,45,60,80,40,63,51,61,70,63,44,52,81,4,4,9,3,8,4,1,9,Teacher
12,93,98,68,73,79,100,90,62,80,78,64,80,6,7,6,3,7,4,9,8,Medical Doctor
31,61,60,61,47,56,71,57,62,62,66,68,57,3,4,0,6,7,8,7,4,Teacher
15,64,53,66,67,75,71,55,69,99,97,84,87,8,6,1,8,3,8,1,9,Business Analyst
25,58,40,55,46,53,60,76,65,67,46,49,89,0,8,3,6,6,1,0,7,Teacher
35,58,54,59,65,73,60,69,84,65,64,40,40,3,2,5,0,5,1,8,1,Teacher
22,76,72,58,60,54,42,85,67,84,90,67,47,3,3,2,6,8,4,3,1,Teacher
28,59,64,87,54,64,52,47,51,52,65,95,49,5,2,3,1,0,7,0,0,Teacher
17,87,70,69,85,84,77,74,82,48,68,49,83,2,0,0,2,9,4,2,8,Software Engineer
30,67,40,47,43,56,51,71,40,60,68,87,52,0,4,6,1,4,5,6,0,Teacher
13,80,98,59,88,100,86,84,80,56,100,71,88,0,0,8,7,2,5,2,3,Pharmacist
22,54,78,62,61,67,46,81,86,61,74,78,65,1,6,3,1,5,8,8,7,Teacher
8,100,100,100,95,98,83,82,82,79,82,82,84,7,8,0,6,8,9,4,1,Medical Doctor
33,58,65,91,40,77,74,48,63,53,62,82,69,1,5,1,4,1,2,2,5,Teacher
24,82,41,48,65,49,52,57,43,49,74,44,40,3,7,2,2,3,8,4,7,Teacher
8,88,61,95,93,81,100,71,100,90,82,87,86,3,9,5,6,2,2,9,7,Lawyer
12,98,100,88,100,78,55,94,54,84,96,86,100,7,6,1,5,8,3,8,1,Pharmacist
30,40,67,41,57,73,40,69,55,45,90,59,51,0,3,0,5,1,4,6,1,Teacher
26,60,77,45,47,56,58,55,100,91,65,67,57,4,6,3,7,9,9,6,9,Teacher
32,68,57,76,65,50,65,46,74,40,78,64,57,0,5,9,0,4,6,5,1,Teacher
16,87,81,100,92,88,64,83,98,73,74,78,66,9,4,8,1,1,5,9,1,Civil Engineer
27,56,68,75,67,72,75,54,57,79,41,66,49,7,6,4,1,5,5,9,9,Teacher
11,88,59,80,100,92,53,86,78,64,88,76,76,5,6,6,8,7,5,5,4,Electrical Engineer
14,78,86,89,71,93,95,83,88,93,62,94,67,0,6,9,9,3,8,5,2,Accountant
31,79,68,72,67,53,71,40,75,42,64,47,68,5,9,0,7,9,2,7,3,Teacher
21,56,81,71,82,83,61,81,68,66,87,76,63,0,4,1,8,6,3,3,1,Teacher
33,40,87,72,40,95,100,57,46,85,54,62,78,3,3,3,4,1,1,8,1,Teacher
26,57,42,43,61,40,47,90,55,53,55,55,69,8,2,4,1,3,6,6,2,Teacher
31,61,58,46,72,58,56,63,70,45,73,81,40,8,0,6,2,2,1,9,5,Teacher
23,63,54,48,76,66,63,57,62,67,91,75,55,9,8,8,9,1,2,3,8,Teacher
12,76,79,92,84,100,81,100,75,70,90,100,61,6,5,5,6,2,2,9,8,Accountant
26,43,40,46,73,56,62,40,73,40,51,67,44,1,8,8,2,3,7,8,2,Teacher
20,72,77,85,40,79,58,60,76,64,78,69,72,7,4,9,4,4,0,9,4,Agricultural Scientist
18,73,65,74,69,74,100,57,70,83,66,96,83,9,0,6,9,5,5,5,5,Accountant
17,85,100,69,60,78,62,96,70,66,67,85,72,2,9,1,2,5,2,9,7,Agricultural Scientist
28,69,40,67,44,72,45,70,76,72,63,56,51,7,2,5,3,6,9,2,5,Teacher
15,74,87,82,68,61,63,81,76,96,89,89,81,5,6,4,8,0,4,9,5,Electrical Engineer
17,88,73,65,83,80,79,75,73,100,92,85,76,6,4,4,9,4,3,4,3,Teacher
11,71,88,72,93,98,75,100,85,90,63,86,73,4,1,5,6,8,5,2,4,Architect
10,100,80,87,68,71,86,100,81,81,78,76,89,1,3,0,4,5,8,9,7,Lawyer
23,69,80,62,50,72,52,59,69,85,65,65,76,0,9,3,2,4,6,7,1,Teacher
19,72,61,81,73,77,74,74,83,100,90,74,66,0,6,2,9,7,2,0,4,Agricultural Scientist
9,74,77,59,86,81,89,68,97,58,85,88,87,1,9,8,9,5,6,9,7,Lawyer
34,57,57,47,59,59,63,61,71,73,44,73,42,2,4,2,0,6,3,6,2,Teacher
16,96,66,63,77,86,73,93,83,43,68,67,83,1,5,9,2,8,2,2,4,Teacher
29,73,74,61,57,52,47,49,40,58,40,62,59,4,4,9,1,0,7,2,0,Teacher
16,48,87,76,100,61,75,55,67,72,70,76,90,9,2,3,9,1,1,7,7,Electrical Engineer
18,57,85,75,46,68,73,63,91,91,67,65,71,4,1,5,3,9,1,8,6,Accountant
10,65,88,100,79,100,100,100,89,93,100,91,77,3,8,2,6,6,7,9,3,Electrical Engineer
33,74,67,54,55,57,62,65,60,55,51,40,79,8,1,0,9,1,6,7,4,Teacher
6,85,97,94,100,100,100,95,70,88,100,90,98,7,6,2,1,6,4,5,3,Medical Doctor
8,78,84,73,100,83,100,100,86,72,56,65,67,0,0,3,5,8,0,0,4,Medical Doctor
10,86,79,100,94,74,81,71,48,89,100,60,85,6,7,7,0,7,5,3,7,Medical Doctor
25,78,69,51,60,86,73,62,58,63,54,40,93,6,6,3,8,7,0,1,1,Teacher
32,60,94,41,66,84,74,87,63,69,61,68,46,2,2,6,6,5,2,6,4,Teacher
27,57,47,72,76,40,59,76,57,70,65,65,55,0,2,7,7,7,5,5,4,Teacher
9,84,80,81,100,81,66,97,83,86,100,86,90,2,1,5,7,5,8,4,1,Medical Doctor
30,69,40,63,61,60,75,65,82,45,62,61,43,5,7,3,2,6,4,1,1,Teacher
13,54,72,72,82,100,80,82,76,91,64,100,78,0,3,6,9,5,5,8,1,Accountant
22,68,51,70,52,100,61,76,66,48,40,78,90,9,6,6,0,0,3,4,4,Teacher
28,50,69,59,47,68,70,54,62,67,66,60,81,1,6,8,1,6,3,1,6,Teacher
22,80,80,63,57,61,75,61,55,66,83,69,62,3,9,5,0,8,4,6,8,Teacher
6,73,91,62,80,100,100,77,100,76,82,73,94,3,5,3,4,5,4,6,8,Medical Doctor
12,88,85,70,61,96,84,85,72,69,45,78,100,7,2,2,0,2,0,7,0,Civil Engineer
